Id,Title,Text
validate_after_skip,Validating After the Fact,"You trigger a full CI run against the deployed commit. It passes — the revert is clean. You update the incident channel: 'Deploy validated post-hoc, all tests green.' Your manager nods. It was a cowboy move, but you cleaned up after yourself. In the retro, you propose adding a 'break glass' CI bypass that auto-triggers validation after deploy."
delete_test,Deleting the Test,"You delete ConfigProviderTest.cs, commit with message 'Remove test blocking revert (will re-add)', and push. CI passes. Deploy succeeds. Error rate drops. You make a mental note to re-add that test... later. You add a TODO in the code. Whether it ever gets done is another story."
fix_test_revert,Fixing the Test,"You update the test to assert the old behavior (reading from env vars). It takes 4 minutes. CI passes on the next run. Full deploy pipeline: green. The revert goes live. Error rate drops to zero. Everything is clean — no skipped tests, no deleted code, no hacks."
flag_investigation,Flag Defaults,"You dig into LaunchDarkly. The flag was created with 'default: true' because Jamie set it up in a dev environment where they wanted it on. When the flag synced to prod, the default carried over. There's no org-wide policy for flag defaults. You realize this could happen to any team."
ending_hero,The Hero,"You not only fixed the incident but improved the system. Your post-mortem identifies the gap, your fix prevents recurrence, and you've earned trust from the team. Jamie sends you a DM: 'Thanks for not making me feel terrible about this. I learned a lot today.' Your manager mentions it in the next team retro as an example of great incident response. Tuesday starts much quieter."
ending_proper_fix,By the Book,"Clean revert, proper fix, thorough post-mortem. The incident lasted 25 minutes. The post-mortem action items actually get completed: deploy pipeline now requires migration scripts, PRs need a deploy checklist, and late-night merges require a second reviewer. Not glamorous, but the system is stronger. You go back to your coffee — it's cold now."
ending_flag_save,The Quick Save,"Feature flag to the rescue — 90 seconds from alert to resolution. Your post-mortem praises the flag infrastructure. But privately you think: 'We got lucky this time. What if there hadn't been a flag?' The underlying deploy process issue lives to cause another incident another day. You file a ticket. It sits in the backlog."
ending_bandaid,The Band-Aid,"The bleeding stopped but the wound isn't healed. You restored the config value manually, which solved the immediate problem — but the deploy pipeline still has no guardrails. A month later, a similar incident happens with a different service: a deploy overwrites config with no migration step. The post-mortem references yours: 'Same root cause — see incident #4471.' Your manager sighs."
ending_bandaid_test,The Missing Test,"The revert went out and production recovered. But that deleted test file lingers in the git history like a guilty conscience. You told yourself you'd re-add it. Three sprints later, someone refactors ConfigProvider again — and introduces the exact bug Jamie's test would have caught. The incident channel lights up for the second time. You stare at your TODO comment in the code and wonder if 'later' ever really comes."
ending_cowboy,The Cowboy,"You got it done fast — production is up, customers are happy, revenue is flowing. But the team noticed you skipped tests and safety rails. In the retro, someone asks: 'What if the revert had introduced a different bug?' There's no good answer. You write a runbook for next time: 'How to safely skip CI during incidents.' It's three pages long. Maybe the tests were faster after all."
make_coffee,Make Coffee,"You haven't had coffee yet and this is definitely a coffee requiring problem"
